0 0.009 0.025 0.011 
5 0.009 0.025 0.011 
10 0.009 0.025 0.014 
15 0.009 0.026 0.014 
20 0.009 0.025 0.023 
25 0.009 0.025 0.023 
30 0.009 0.025 0.033 
35 0.009 0.028 0.033 
40 0.009 0.032 0.042 
45 0.010 0.032 0.042 
50 0.010 0.037 0.052 
55 0.011 0.037 0.052 
60 0.012 0.044 0.062 
65 0.012 0.043 0.062 
70 0.014 0.052 0.071 
75 0.013 0.052 0.072 
80 0.015 0.058 0.081 
85 0.015 0.059 0.081 
90 0.017 0.068 0.091 
95 0.017 0.067 0.092 
100 0.019 0.075 0.101 
105 0.020 0.075 0.101 
110 0.022 0.085 0.111 
115 0.021 0.084 0.111 
120 0.023 0.095 0.121 
125 0.023 0.096 0.121 
130 0.027 0.103 0.131 
135 0.026 0.103 0.131 
140 0.029 0.112 0.141 
145 0.029 0.113 0.140 
150 0.032 0.123 0.150 
155 0.032 0.123 0.150 
160 0.036 0.132 0.160 
165 0.035 0.132 0.160 
170 0.039 0.142 0.170 
175 0.039 0.142 0.170 
180 0.043 0.152 0.180 
185 0.043 0.151 0.180 
190 0.047 0.161 0.190 
195 0.047 0.161 0.189 
200 0.051 0.171 0.200 
205 0.052 0.171 0.199 
210 0.056 0.182 0.209 
215 0.057 0.181 0.209 
220 0.061 0.190 0.219 
225 0.062 0.191 0.219 
230 0.068 0.200 0.229 
235 0.068 0.200 0.229 
240 0.075 0.209 0.239 
245 0.074 0.209 0.238 
250 0.082 0.220 0.249 
255 0.080 0.220 0.249 
260 0.090 0.230 0.259 
265 0.088 0.229 0.259 
270 0.095 0.239 0.268 
275 0.096 0.240 0.269 
280 0.105 0.249 0.279 
285 0.105 0.250 0.278 
290 0.114 0.259 0.288 
295 0.114 0.258 0.288 
300 0.122 0.270 0.298 
305 0.124 0.268 0.298 
310 0.134 0.278 0.308 
315 0.133 0.279 0.308 
320 0.144 0.289 0.317 
325 0.143 0.288 0.318 
330 0.154 0.298 0.327 
335 0.154 0.299 0.327 
340 0.164 0.308 0.337 
345 0.166 0.307 0.337 
350 0.178 0.317 0.347 
355 0.177 0.317 0.347 
360 0.189 0.327 0.357 
365 0.190 0.328 0.357 
370 0.204 0.336 0.366 
375 0.203 0.337 0.366 
380 0.218 0.346 0.376 
385 0.216 0.345 0.376 
390 0.229 0.355 0.386 
395 0.232 0.355 0.386 
400 0.245 0.367 0.396 
405 0.246 0.363 0.396 
410 0.259 0.374 0.405 
415 0.260 0.374 0.405 
420 0.276 0.384 0.415 
425 0.275 0.384 0.415 
430 0.291 0.393 0.424 
435 0.290 0.395 0.425 
440 0.306 0.404 0.435 
445 0.307 0.403 0.434 
450 0.323 0.413 0.444 
455 0.323 0.413 0.444 
460 0.341 0.423 0.454 
465 0.342 0.424 0.454 
470 0.358 0.432 0.464 
475 0.360 0.432 0.464 
480 0.376 0.441 0.473 
485 0.375 0.443 0.474 
490 0.394 0.451 0.482 
495 0.393 0.451 0.483 
500 0.411 0.461 0.492 
505 0.412 0.461 0.492 
510 0.431 0.470 0.502 
515 0.431 0.471 0.502 
520 0.449 0.480 0.512 
525 0.449 0.481 0.512 
530 0.469 0.488 0.521 
535 0.468 0.490 0.521 
540 0.488 0.499 0.531 
545 0.487 0.499 0.531 
550 0.509 0.508 0.541 
555 0.507 0.508 0.541 
560 0.529 0.519 0.551 
565 0.528 0.518 0.551 
570 0.547 0.528 0.561 
575 0.547 0.527 0.561 
580 0.565 0.537 0.571 
585 0.565 0.536 0.571 
590 0.567 0.538 0.580 
595 0.566 0.536 0.580 
600 0.567 0.536 0.590 
